,char_img,characters,id,img,lesson_pos,level,mean_mne,meanings,updated,url
442,,?,372,,5,level_38,This radical is the same as the kanji. It means <radical>tooth</radical>.,Tooth,2019-12-31T06:03:52.594421Z,https://www.wanikani.com/radicals/tooth
443,,?,373,,0,level_39,This radical is the same as the kanji. It means <radical>buddy</radical>.,Buddy,2019-12-31T06:03:52.616218Z,https://www.wanikani.com/radicals/buddy
444,,?,374,,1,level_39,This radical is the same as the kanji. It means <radical>former</radical>.,Former,2019-12-31T06:03:52.640116Z,https://www.wanikani.com/radicals/former
445,,?,375,,0,level_39,This is the same as the kanji <radical>Six</radical>.,Six,2019-12-31T06:03:52.664283Z,https://www.wanikani.com/radicals/six-375
446,,?,376,,2,level_39,This radical is the same as the kanji. It means <radical>hill</radical>.,Hill,2019-12-31T06:03:52.692411Z,https://www.wanikani.com/radicals/hill
447,,?,377,,3,level_39,This radical is the same as the kanji. It means <radical>three</radical>.,Three,2019-12-31T06:03:52.720634Z,https://www.wanikani.com/radicals/three
448,,?,413,,4,level_39,This radical is the same as the kanji. It means <radical>reality</radical>.,Reality,2019-12-31T06:03:53.692422Z,https://www.wanikani.com/radicals/reality
449,,?,414,,5,level_39,This radical is the same as the kanji. It means <radical>scroll</radical>.,Scroll,2019-12-31T06:03:53.716789Z,https://www.wanikani.com/radicals/scroll
450,,?,430,,6,level_39,This radical is made up of blackjack and clothes with the six kanji on top. If you see six people playing blackjack and wearing the same clothes you should know that they're all <radical>nurse</radical>s. Nurses play blackjack together to cool down between shifts and they usually don't have time to change out of their uniforms. That's why this radical is nurse.,Nurse,2019-12-31T06:03:54.186185Z,https://www.wanikani.com/radicals/nurse
451,,?,378,,0,level_40,This radical is the same as the kanji. It means <radical>employ</radical>.,Employ,2019-12-31T06:03:52.746666Z,https://www.wanikani.com/radicals/employ
452,,?,379,,1,level_40,This radical is the same as the kanji. It means <radical>every</radical>.,Every,2019-12-31T06:03:52.773351Z,https://www.wanikani.com/radicals/every
453,,?,380,,2,level_40,This radical is the same as the kanji. It means <radical>preserve</radical>.,Preserve,2019-12-31T06:03:52.797922Z,https://www.wanikani.com/radicals/preserve
454,,?,8833,,3,level_40,This radical is the same as the kanji. It means <radical>rejoice</radical>.,Rejoice,2019-12-31T06:08:18.783208Z,https://www.wanikani.com/radicals/rejoice
455,,?,381,,0,level_41,"This is a post with signs on it. And on top is a winter marker, showing that if you go north it's winter up there. The signs say things like ""Narnia ?"" and ""Meridell ?"" and ""Bananaland ?"" so you know it's a <radical>signpost</radical>.",Signpost,2019-12-31T06:03:52.822640Z,https://www.wanikani.com/radicals/signpost
